source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Diễn Viên Hài Thu Trang,,2019-11-08 20:00:02,"Tèn ten!!!! Nhân vật gia tiếp theo nhập hội thích - bất - ngờ của Nhật ký Celeb đó chính là DIỄN VIÊN DIỆU NHI 🤗 Trời ơi!!! Cải trang thành người bán vé số mà có ai đeo vòng vàng đầy tay như Nhi không? Lại còn troll cực lầy khiến người ta suýt bỏ đi luôn, không hổ là Nhi 😆 #ThuTrangEntertainment #Nhatkyceleb #DiệuNhi #DienvienhaiThuTrang #ĐạodiễnTrungLùn","Diễn Viên Hài Thu Trang và 1,4K người khác",1K,231,178,1,3,3,98 bình luậ,2805472886132188,/story.php?story_fbid=2805472886132188&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-08 15:00:01,Tối nay 20h nhân vật nào sẽ lộ diện đây ??? 😜 Hẹn cả nhà tối nay 20h với Tập 2 Nhật Kí Celeb nha ❤️,"1,3K","1,2K",23,89,,1,,45 bình luậ,2814817365197740,/story.php?story_fbid=2814817365197740&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-08 12:04:25,Mọi người đã xem chưa?,Diễn Viên Hài Thu Trang và 415 người khác,364,6,46,,,,52 bình luậ,2816376178375192,/story.php?story_fbid=2816376178375192&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-08 12:00:01,Có hai người con trai nhiều lúc cũng mệt mỏi lắm cả nhà à 😜❤️ Hi vọng vẫn cả nhà vẫn yêu thương Eat Together của gia đình nhỏ này nha ❤️ https://www.youtube.com/watch?v=KLwWxCdJ3ic&fbclid=IwAR0RikIWHay7kBtTOTH-z043Z2Y5nDq4ntsUKvnArYqfm_yWlGfFfDAOhys,Diễn Viên Hài Thu Trang và 482 người khác,427,2,54,,,,32 bình luậ,2814823835197093,/story.php?story_fbid=2814823835197093&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-08 09:00:00,"Lâu lâu up tấm hình ""seo phi"" mà ai cũng thả icon haha là sao ta 😁😜",Diễn Viên Hài Thu Trang và 16K người khác,11K,"4,4K",664,85,17,2,366 bình luậ,2814869308525879,/story.php?story_fbid=2814869308525879&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-07 22:30:46,Cặp đôi này dễ cưng quá nè kkk,Diễn Viên Hài Thu Trang và 575 người khác,520,10,45,1,,,29 bình luậ,2815077618505048,/story.php?story_fbid=2815077618505048&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-07 20:00:00,Cây khế bỗng dưng không cho trái ngọt quả thơm nữa rồi? Người em trai biết phải sống sao khi lũ quạ không còn thèm ghé đến ăn nữa đây... :(,"Nguyễn Nhật Trung và 6,3K người khác","4,9K",998,343,7,6,11,110 bình luậ,2801390346540442,/story.php?story_fbid=2801390346540442&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-07 09:03:14,Chúc cả nhà yêu một ngày làm việc thật nhiều niềm vui nha ☺️❤️,"Diễn Viên Hài Thu Trang và 7,2K người khác","6,5K",179,518,4,,,169 bình luậ,2813889675290509,/story.php?story_fbid=2813889675290509&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-07 00:00:02,Trời ơi tin được hông!!! Bán vé số mà vàng đeo tay vậy luôn á hả?  😲 Không biết nhân vật nào tiếp theo sẽ mang đến bất ngờ cho khán giả Nhật Ký Celeb đấy? -- Đón xem tập 2 của Nhật Ký Celeb lúc 20h00 ngày 8/11 độc quyền trên fanpage Diễn viên hài Thu Trang nha <3,Diễn Viên Hài Thu Trang và 893 người khác,725,89,77,2,1,,58 bình luậ,2812899682056175,/story.php?story_fbid=2812899682056175&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-06 19:00:00,Khế nhỏ và chua như này sao mà quạ ăn đây 😭😭😭 -- Tập 1 ĂN KHẾ TRẢ VÀNG sẽ được phát sóng độc quyền trên fanpage Diễn viên hài Thu Trang ngày 7/11/2019,Diễn Viên Hài Thu Trang và 2K người khác,"1,7K",128,126,1,,,62 bình luậ,2801409066538570,/story.php?story_fbid=2801409066538570&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-06 15:00:04,"CỔ TÍCH NGOẠI TRUYỆN - Một sản phẩm tiếp theo, hi vọng cả nhà sẽ dành tình cảm cho sản phẩm này giống như các sản phẩm trước nha ❤️ Hẹn cả nhà 19h tối nay với Teaser Ăn Khế Trả Vàng ❤️","Diễn Viên Hài Thu Trang và 3,3K người khác",3K,59,220,4,,,77 bình luậ,2812015102144633,/story.php?story_fbid=2812015102144633&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-06 12:00:00,"💏 TẬP 1 DUYÊN TIỀN ĐỊNH lên sóng rồi cả nhà ơi!!! 😍 Cùng xem trong tập đầu tiên này, ông mai bà mối Thu Trang - Ngô Kiến Huy có ""mát tay"" kết đôi thành công cho các người chơi không nha. Hãy về với nhau đi, mùa đông sắp đến rồi Noel này cần có ""gấu"" các bạn ơi 💓","Diễn Viên Hài Thu Trang và 3,2K người khác","2,9K",79,304,1,3,,98 bình luậ,2797555230257287,/story.php?story_fbid=2797555230257287&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-06 09:27:36,Lớn rồi mà vẫn thích đeo theo tui ghê ha 😅  Hai mẹ con chúc cả nhà một ngày tốt lành và nhiều niềm vui nha 💓,23K,22K,86,"1,3K",8,2,,173 bình luậ,2811475372198606,/story.php?story_fbid=2811475372198606&id=743558085657022,Lưu
