source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
YAN News,,2019-11-04 20:53:02,CHƠI VẬY AI CHƠI LẠI CHỊ QUYÊN ƠI... 😥,"1,1K","1,1K",25,19,8,4,3,222 bình luậ,3892110680859792,/story.php?story_fbid=3892110680859792&id=154180304652867
YAN News,,2019-11-04 20:42:36,THẤY 4 GƯƠNG MẶT THÌ QUẢ LÀ CAO THỦ RỒI! 🧐,225,212,7,6,,,,35 bình luậ,3892041320866728,/story.php?story_fbid=3892041320866728&id=154180304652867
YAN News,,2019-11-04 20:32:00,"IM IM MÀ RINH CỤC BỰ HÀ, CHÚC MỪNG TRANG! 🥳","1,3K","1,2K",26,40,10,,,61 bình luậ,3891993377538189,/story.php?story_fbid=3891993377538189&id=154180304652867
YAN News,,2019-11-04 20:22:10,"Sau khi nghe Anh Tú hát ""Khóc Cho Người Đi"" thì Đàm Vĩnh Hưng cũng đã đứng dậy THỊ PHẠM 😂 Thần thái Ông Hoàng Nhạc Việt quả có khác :)) #YANDigital đồng hành cùng #GuongMatThanQuen","9,8K","9,1K",305,404,17,4,4,140 bình luậ,3891514477586079,/story.php?story_fbid=3891514477586079&id=154180304652867
YAN News,,2019-11-04 20:08:18,THẢ THÍNH CẤP ĐỘ CAO QUÁ ANH ƠIIII 🤣,983,921,37,24,,1,,47 bình luậ,3891941790876681,/story.php?story_fbid=3891941790876681&id=154180304652867
YAN News,,2019-11-04 20:01:00,"Cậu Ba đánh người nhiều quá mà sinh bệnh luôn mà, khổ thân 🤣",389,366,7,4,1,11,,12 bình luậ,3891868600884000,/story.php?story_fbid=3891868600884000&id=154180304652867
YAN News,,2019-11-04 19:46:18,"10 năm chăm sóc chồng không một lời than oán vì ""chồng dù có ra sao vẫn là chồng của em""...","2,5K",2K,5,303,5,182,,260 bình luậ,3891852810885579,/story.php?story_fbid=3891852810885579&id=154180304652867
YAN News,,2019-11-04 19:41:01,Phụ nữ sướng hay không quan trọng là ở tấm chồng quá đúng mà 😁,875,839,5,26,5,,,33 bình luậ,3891484310922429,/story.php?story_fbid=3891484310922429&id=154180304652867
YAN News,,2019-11-04 19:33:34,CHƠI CHẮC NHƯ CHI AI CHƠI LẠI? 😅,465,439,8,17,,,1,19 bình luậ,3891777400893120,/story.php?story_fbid=3891777400893120&id=154180304652867
YAN News,,2019-11-04 19:22:04,"""LIÊM SỈ GÌ TẦM NÀY NỮA"": Không ngờ câu nói đùa hot trend của giới trẻ qua góc nhìn của Trác Thúy Miêu lại có nhiều vấn đề xã hội mang tính vĩ mô như vậy 😮  #ShareYourSecret",440,410,9,21,,,,28 bình luậ,3891321260938734,/story.php?story_fbid=3891321260938734&id=154180304652867
YAN News,,2019-11-04 19:16:28,NGỌT HƠN NƯỚC ĐƯỜNG NỮA NÀAA! 🥰,700,675,7,18,,,,13 bình luậ,3891726427564884,/story.php?story_fbid=3891726427564884&id=154180304652867
"YAN News,Phạm Sen,KHOE CON  ","Phạm Sen,KHOE CON  ",2019-11-04 19:05:00,UI TRỜI ƠI BÉ XINH QUÁ BÁC KHOE CON  ☑ ƠI!Trời ơi !  Sao đẹp hết phần người khác thế này .🤪🤪.. Nguồn Mạng ...😂😂😂,25K,22K,35,"2,1K",340,4,1,2.043 bình luậ,3891503207587206,/story.php?story_fbid=3891503207587206&id=154180304652867
YAN News,,2019-11-04 19:00:01,Ế THẾ NÀY THÌ KIẾM ĐÂU RA NGƯỜI HÔN ĐÂY? 😔,"5,6K","4,6K",813,89,62,56,3,1.297 bình luậ,3890553831015477,/story.php?story_fbid=3890553831015477&id=154180304652867
YAN News,,2019-11-04 18:51:03,"""Hân tuesday"" của các bạn đây, nóng bỏng thế này bảo sao khối anh ngoại tình 😝",352,316,27,9,,,,9 bình luậ,3891544114249782,/story.php?story_fbid=3891544114249782&id=154180304652867
YAN News,,2019-11-04 18:46:00,“Vì tiền mà làm ăn kiểu mất nhân cách kinh. Chắc chui ra từ cái lò đa cấp nào rồi” - nhiều người tức giận 😣,555,517,1,6,1,4,26,14 bình luậ,3891552590915601,/story.php?story_fbid=3891552590915601&id=154180304652867
YAN News,,2019-11-04 18:41:01,CÓ ANH TRAI NÀO CUNG BẠCH DƯƠNG ĐỒNG Ý QUEN EM KHÔNG Ạ 😂,298,279,15,2,1,1,,22 bình luậ,3891215740949286,/story.php?story_fbid=3891215740949286&id=154180304652867
YAN News,,2019-11-04 18:31:00,TA NÓI NGUYÊN CÁI DÀN NÀY CHƠI CHUNG LÀ QUẬY BANH NÓC LUÔN 😝,630,603,8,19,,,,12 bình luậ,3891519367585590,/story.php?story_fbid=3891519367585590&id=154180304652867
"YAN News,Bí Kíp Yêu",Bí Kíp Yêu,2019-11-03 22:25:01,SAO ANH NẶNG LỜI VỚI EMMMMMMM 😭Mỗi khi bị người yêu la: “Sao anh dám nặng lời với em” 😢,"7,1K","5,4K","1,3K",249,14,46,,1.381 bình luậ,3891558030915057,/story.php?story_fbid=3891558030915057&id=154180304652867
YAN News,,2019-11-04 18:10:08,"""Lâm Chí Linh vẫn thấy góp mặt tại các sự kiện mà, sao đùng cái đã đi chữa ung thư rồi"" - nhiều fan lo lắng 😯",421,409,1,,4,7,,17 bình luậ,3891500664254127,/story.php?story_fbid=3891500664254127&id=154180304652867
YAN News,,2019-11-04 17:53:43,"Ông bố bỉm sửa của năm là đây, ra sân quyết liệt, ở nhà thì siêng chăm con 😍","1,7K","1,6K",27,62,4,,,39 bình luậ,3891449360925924,/story.php?story_fbid=3891449360925924&id=154180304652867
YAN News,,2019-11-04 17:47:47,PHÂN BIỆT CHO RÕ RỒI ĐỪNG ĐI SÂN SI 🙂,"Nguyễn Phương Dung và 2,4K người khác","2,2K",148,69,4,,4,188 bình luậ,3891428310928029,/story.php?story_fbid=3891428310928029&id=154180304652867
YAN News,,2019-11-04 17:41:19,"Tui nhìn tiệc rượu mà tui ham á, chưa bao giờ ham vậy á 😋",307,298,3,6,,,,5 bình luậ,3891087037628823,/story.php?story_fbid=3891087037628823&id=154180304652867
YAN News,,2019-11-04 17:31:25,"TÌNH ANH EM CHẮC CÓ BỀN LÂU, TỐ NHAU TRÊN SÓNG TRUYỀN HÌNH 😛",506,472,29,4,1,,,9 bình luậ,3891378437599683,/story.php?story_fbid=3891378437599683&id=154180304652867
YAN News,,2019-11-04 16:47:38,SỨC MẠNH CỦA DÂN MẠNG PHẢI NÓI LÀ KHỦNG KHIẾP 😅,867,804,13,41,8,1,,15 bình luậ,3891247037612823,/story.php?story_fbid=3891247037612823&id=154180304652867
YAN News,,2019-11-04 16:35:40,"Các bạn công nhận không, có yêu cỡ mấy mà cả 2 phải lo nghĩ quá nhiều về ""cơm áo gạo tiền"" thì sẽ tự dưng bớt yêu lại 😅",728,700,19,7,1,1,,60 bình luậ,3891207584283435,/story.php?story_fbid=3891207584283435&id=154180304652867
YAN News,,2019-11-04 16:24:10,"TẤM THIỆP MỜI TRÊN BÀN, THỜI GIAN ĐỊA ĐIỂM RÕ RÀNG <3",475,452,9,11,3,,,12 bình luậ,3891171167620410,/story.php?story_fbid=3891171167620410&id=154180304652867
YAN News,,2019-11-04 16:00:01,"KIM NGƯU ĐÂU, HỘI NHỮNG NGƯỜI CÙNG KHỔ ĐÂY!","2,5K","1,8K",382,12,19,232,4,562 bình luậ,3890961260974734,/story.php?story_fbid=3890961260974734&id=154180304652867
YAN News,,2019-11-04 15:41:57,EM GÁI A XÌN DUYÊN KHÔNG KÉM GÌ ANH TRAI LUÔN NHÁ 😍,680,655,7,18,,,,10 bình luậ,3891021610968699,/story.php?story_fbid=3891021610968699&id=154180304652867
YAN News,,2019-11-04 15:24:09,"ĐẸP QUÁ CÁC BÁC ƠI, SẮP XẾP ĐI ĐÀ LẠT SỚM THÔI!","2,8K","2,7K",20,111,30,3,,534 bình luậ,3890972334306960,/story.php?story_fbid=3890972334306960&id=154180304652867
YAN News,,2019-11-04 14:57:13,EM NGUYỆN LÀM TÌNH NHÂN CỦA MỢ!! 🙈,516,487,11,8,10,,,12 bình luậ,3890896037647923,/story.php?story_fbid=3890896037647923&id=154180304652867
YAN News,,2019-11-04 14:45:20,TÌNH YÊU CÓ THỂ BẤT CHẤP MỌI THỨ VẬY SAO? 😅,486,437,38,6,4,1,,86 bình luậ,3890847440986116,/story.php?story_fbid=3890847440986116&id=154180304652867
YAN News,,2019-11-04 14:41:08,"Không bao giờ bắt mọi người phải chờ đợi hay làm hoãn tiến độ quay, nhất Dĩnh tỷ rồi 😍",475,446,,28,1,,,16 bình luậ,3890836130987247,/story.php?story_fbid=3890836130987247&id=154180304652867
YAN News,,2019-11-04 14:27:21,VÀ GIỜ EM KHÓC THÌ CŨNG CHẲNG ĐỂ LÀM GÌ!!! 😂,664,413,230,7,10,4,,56 bình luậ,3890815327655994,/story.php?story_fbid=3890815327655994&id=154180304652867
YAN News,,2019-11-04 14:17:09,Anh gạt đi vì lý do: giữ hộ nghèo để được tiền nhà nước hỗ trợ??? 😃,459,379,71,4,2,3,,48 bình luậ,3890788440992016,/story.php?story_fbid=3890788440992016&id=154180304652867
