source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Let's Viet TV,,2019-09-16 09:47:29,"Xuất hiện trong chương trình Sức sống thanh xuân, Băng Di thẳng thắn chia sẻ những quan điểm trong tình yêu của mình. Khi MC Ốc Thanh Vân đặt câu hỏi: “Theo bạn độc thân là hạnh phúc vì mình được toàn quyền quyết định mọi thứ theo ý mình, đúng hay sai?”, Băng Di cho rằng không phải chỉ khi độc thân mới có quyền tự quyết định mọi thứ. “Với tôi, người phụ nữ không cần quá quan trọng chuyện quyết định mọi thứ theo ý của ai bởi dù thế nào cũng cần tôn trọng ý kiến của chính bản thân mình. Còn khi muốn tìm người để hỏi ý kiến, không nhất thiết phải là người yêu hay chồng vì gia đình, bạn bè cũng có thể giúp mình” – Băng Di chia sẻ.",11,11,,,,,,Bình luậ,10156461206631475,/story.php?story_fbid=10156461206631475&id=146742116474
Let's Viet TV,,2019-09-15 20:00:15,Má này tánh kỳ ghê à 😁😁,398,372,8,17,1,,,6 bình luậ,10156455018121475,/story.php?story_fbid=10156455018121475&id=146742116474
Let's Viet TV,,2019-09-14 20:00:54,Chú còn xanh và non lắm chú em à 😠😠,11K,11K,214,267,40,25,54,183 bình luậ,10156455017906475,/story.php?story_fbid=10156455017906475&id=146742116474
Let's Viet TV,,2019-09-14 11:30:26,Thu lỳ quá nha Thu 😝😝,56,46,7,3,,,,2 bình luậ,10156447011496475,/story.php?story_fbid=10156447011496475&id=146742116474
Let's Viet TV,,2019-09-14 10:15:18,"Trong những lần chia sẻ với truyền thông, Thanh Ngọc từng nhiều lần tủi thân, bật khóc vì chưa thể sinh con. Nữ ca sĩ và ông xã Đức Thiệp đã tổ chức đám cưới vào tháng 6/2011, nhưng từ đó duyên con cái vẫn chưa đến với cựu thành viên nhóm Mắt Ngọc. Tuy nhiên, tối Trung thu trên trang cá nhân của mình, nữ ca sĩ bất ngờ chia sẻ tin vui khiến bạn bè, người thân của cô vui lây. Cựu thành viên nhóm Mắt Ngọc đăng ảnh cầm bàn tay con và trải lòng đầy xúc động: ""Trong tay mẹ ôm ấp một vầng trăng, vầng sáng dịu ngọt ấm áp của đời mẹ. Thương quá nhiều con trai nhỏ của mẹ"". Giọng ca Cà phê đắng và mưa cho biết thêm sau bao nhiêu năm trông đợi, phải trải qua rất nhiều khó khăn và những vất vả cô đã sinh con trai đầu lòng hồi tháng 6 sau 8 năm kết hôn. Cả hai vợ chồng đặt tên con ở nhà là Ủn.  Mọi người cùng gửi lời chúc mừng đến gia đình nhỏ của Thanh Ngọc nhé!",336,297,,39,,,,4 bình luậ,10156456922036475,/story.php?story_fbid=10156456922036475&id=146742116474
Let's Viet TV,,2019-09-13 20:00:27,Giang hồ cũng có giá của giang hồ chớ bộ 👺👺,"2,8K","2,7K",27,73,12,11,7,27 bình luậ,10156455017381475,/story.php?story_fbid=10156455017381475&id=146742116474
Let's Viet TV,,2019-09-13 11:30:10,Tao lấy thịt tao đè à nha 🤣🤣,"2,7K","2,4K",265,62,11,2,5,55 bình luậ,10156447011211475,/story.php?story_fbid=10156447011211475&id=146742116474
Let's Viet TV,,2019-09-13 09:20:03,"Nhóm nhạc P336 vừa tổ chức một chuyến đi từ thiện nhân dịp Trung thu với sự tham gia của nghệ sĩ Quốc Thuận, diễn viên Lê Lộc, Chí Tâm… Trước đó, các thành viên của P336 đã kêu gọi gây quỹ từ thiện và tự tay làm bánh Trung thu để mang tặng mái ấm nghệ sĩ và trung tâm trẻ em khuyết tật.",10,8,,2,,,,Bình luậ,10156454719216475,/story.php?story_fbid=10156454719216475&id=146742116474
Let's Viet TV,,2019-09-12 11:30:45,Anh nào tên Đông vào nhận hàng nè 😝😝,31,22,7,,2,,,5 bình luậ,10156447010801475,/story.php?story_fbid=10156447010801475&id=146742116474
Let's Viet TV,,2019-09-11 11:30:30,Đời mà 😒😒,28,27,,1,,,,1 bình luậ,10156447010626475,/story.php?story_fbid=10156447010626475&id=146742116474
